actor,air_time_in_minutes
Addison Holley,6531
Fred Tatasciore,4752
Bill Farmer,4412
Atticus Shaffer,3960
Jeff Bennett,3649
Lara Jill Miller,3624
Issac Ryan Brown,3611
Mason Mahay,3600
Katie Griffin,3600
Benji Risley,3600
Kyla Kenedy White,3600
Henry Kaufman,3600
Jessica DiCiccio,3600
Scarlet Estevez,3600
Roger Craig Smith,3600
Trevor Devall,3455
Trek Buccino,3317
Vanessa Marshall,3240
Nissae Isen,3240
Jet Jurgensmeyer,3086
Jim Parsons,3008
Jacob Tremblay,2981
Diedrich Bader,2969
Alyson Stoner,2966
Saara Chaudry,2957
Jessica DiCicco,2903
Tom Freund,2880
Jeff “Swampy” Marsh,2880
Rhys Darby,2880
Juliet Donenfeld,2880
Pamela Adlon,2880
KT Tunstall,2880
Jesse Tyler Ferguson,2880
Jessica Biel,2880
Jenna Ortega,2880
Indie Nameth,2880
David Menkin,2880
Felix Avitia,2880
Don Was,2880
Nassar,2809
Tress MacNeille,2618
Richard Ayoade,2529
Shelley Craft,2520
Jessica Knappett,2520
Jennifer Hale,2520
Scott Cam,2520
Prakash Raj,2476
LB,2410
Dee Baker,2401
Aaron Michael,2369
Millie Davis,2328
Issac Brown,2248
Bret Iwan,2207
Olivia Rodrigo,2206
Sofia Wylie,2206
Tony Anselmo,2205
Jenna Qureshi,2181
Tyler Sanders,2160
Hannah Levinson,2160
Eric Bauza,2160
Andrea Baker,2160
Christian Simon,2160
Adrian Truss,2160
Christopher Downs,2160
Skyler Brigmann,2160
Emily Downs,2160
"C1-10P a.k.a. ""Chopper""",2160
Jodi Downs,2160
Zac McDowell,2160
Grey Griffin,2160
Alan Franzenburg,2160
Alex Trugman,2160
Jolie Hoang-Rappaport,2160
Adam Sanders,2160
Brooke Wolloff,2160
John Taylor,2160
Addie Zintel,2160
Nika Futterman,2160
Joshua Rush,2160
Keith Ferguson,2160
Nayanthara,2041
Isabella Crovetti,1901
Tess Paras,1879
Tobie Windham,1875
Ben Diskin,1872
Max Mittelman,1854
Daniel Ross,1847
Dana Snyder,1847
Maggie,1847
Russi Taylor,1845
Corey Burton,1823
Paul Tylak,1800
Wanda Sykes,1800
Tara Strong,1800
Brendan Heard,1800
Mekai Curtis,1800
Ashley Boettcher,1800
Lucas Kalechstein,1800
Shane Harper,1800
Alyson Court,1800
James Urbaniak,1800
Aimee Carrero,1800
Bruno Fracassa,1800
Andrew Sabiston,1800
Shelby Bain,1800
Melody Melendez,1800
Kate Micucci,1800
Cameron Bedford,1800
Jordan Davis,1800
Alexandra Beaton,1800
Zach Callison,1800
Mitchell Whitfield,1800
Erin Pitt,1800
Frank Welker,1800
Sam Lavagnino,1800
Kyle Breitkopf,1800
Matthew Dellapina,1800
Martin Roach,1800
Jacob Ursomarzo,1800
Myles Erlick,1800
Victoria Baldesarra,1800
Raven-Symoné,1660
Joseph May,1634
Vanessa Lengies,1547
Stevin John,1546
Sam Vincent,1536
Alyson Hannigan,1535
Kristin Fairlie,1529
Michela Luci,1517
Thomas Brodie-Sangster,1493
Devan Cohen,1491
Sean Schemmel,1485
Maggie Binkley,1464
Jason Maybaum,1451
Anneliese van der Pol,1451
Sky Katz,1451
Navia Robinson,1451
Leslie Baker,1440
Daisy Waterstone,1440
Callum Woodhouse,1440
Vincent Brimble,1440
TJ McGibbon,1440
Johnny Orlando,1440
Sarah Carver,1440
Freddie Prinze Jr.,1440
Tiya Sircar,1440
YSANNE CHURCHMAN,1440
Clementine Milward,1440
Caissie Levy,1440
Aline Mowat,1440
Scott McCord,1440
Sophie Feldman,1440
LIBBY MORRIS,1440
Chasden Gilson-Walker,1440
Kevin Charles,1440
Carla Bourke,1440
Dana Heath,1440
Ava Priestley,1440
Sophie Rice,1440
Kayvan Novak,1440
Alexa Bauer,1440
Elizabeth Hanna,1440
Matt Danner,1440
RONNIE STEVENS,1440
Candi Milo,1440
MURRAY KASH,1440
Allana Harkin,1440
Sophia Vernon,1440
Ava Close,1440
Tom Kenny,1440
Jeff Geddis,1440
Josh O'Connor,1440
Allegra Cnockaert,1440
Corror Price,1440
Gordon Quigley,1440
Kevin Richardson,1440
Roanna Cochrane,1440
Keeley Hawes,1440
Ethan Tavares,1440
Braylyx Rivera-Babbey,1440
Shai Matheson,1440
Kitana Turnbull,1440
Justin Felbinger,1440
Ben Bayly,1440
Milo Parker,1440
Naomi Mcdonald,1440
Tiago Gil Batista,1440
Hope Cassandra,1440
Andres Williams,1440
Harland Williams,1440
Ethan Bourke,1440
Alan Shannon,1440
Kirby Engelman,1440
Eden Sher,1440
Bill Rogers,1440
Ivy Mcdonnell,1440
Jadiel Dowlin,1440
David Keegan,1440
DICK VOSBURGH,1440
Paula Mcglinchey,1440
Matthew MacFadzean,1440
Éabha Farrell,1440
Amish Patel,1440
Kyle Lomas,1440
Gabriella Graves,1440
Colin Petierre,1440
Jason Priestley,1440
Taylor Gray,1440
Travis Burnett,1440
Melanie Harrison,1440
Isaac Brown,1440
Jamie Buchanan,1440
Jordyn Negri,1440
Kamran Lucas,1440
Jonathan Smith,1440
Sunny Hinduja,1440
Charlie Feighery,1440
Carter Bellaimey,1440
Kieran Farrell,1440
Kate Mulvany,1440
Katherine Forrester,1440
Faye Stedman - Shannon,1440
Janet Spencer Turner,1440
Kathy Laskey,1440
Shauna Cullen,1440
Charlie Engelman,1440
Cassandra Lee Morris,1440
Adam McArthur,1440
Spencer Moss,1440
Adrianna Di Liello,1440
Rasmus Hardiker,1440
Mick Wingert,1440
David Tennant,1440
Steve Blum,1440
Mohanlal,1421
Mehreen Pirzada,1413
Samantha Akkineni,1383
Karunakaran,1374
Soori,1369
Kristen Bell,1325
Zendaya,1281
Jamie Chung,1274
Megan Hilty,1237
Mime Gopi,1211
Clancy Brown,1210
Kaali Venkat,1209
Kamil McFadden,1207
Samuthirakani,1197
Naveen Chandra,1190
Gregg Sulkin,1186
Scott Adsit,1185
Ryan Potter,1185
Peyton Lee,1179
Robo Shankar,1178
Ben Schwartz,1175
Michael Barbuto,1175
Danny Pudi,1175
Jacob Bertrand,1171
Bryce Gheisar,1154
John Boyega,1153
Kiki,1147
Mandy Moore,1138
Zachary Levi,1138
Eden Espinosa,1138
Mia,1133
Caroline Rhea,1133
Amariah Faulkner,1131
Steve R. Watts,1130
Zachary Bennett,1128
Jim Cummings,1127
Kaitlyn Robrock,1127
Larry Saperstein,1126
Joshua Bassett,1126
Matt Cornett,1126
Robbie Daymond,1126
Chris Diamantopoulos,1125
Matt Servo,1124
Mammootty,1117
Jagapathi Babu,1115
Ruth Righi,1102
Vijay Sethupathi,1091
Sathish,1088
Carlos Alazraqui,1088
Jim Gaffigan,1084
Shraddha Kapoor,1084
Emma Tate,1080
Charles Vandervarrt,1080
DeVore Ledridge,1080
Hannah Nordberg,1080
Rachel Leskovac,1080
Logan Smith,1080
Josette Jorge,1080
Ronni Hawk,1080
Kari Wahlgren,1080
Madison Hu,1080
Madison Ferguson,1080
Tori,1080
Brenda Song,1080
Wayne Forester,1080
Test Actor 1,1080
Karol Sevilla,1080
Test Actor 2,1080
Markleik,1080
Dusan Brown,1080
Marc Thompson,1080
Nick Tracy,1080
Lucía Balas,1080
Cathy Weseluck,1080
Jillian Reed,1080
Robyn Lively,1080
Jorge Diaz,1080
Veronica Dunne,1080
Lucila Gandolfo,1080
Liam Jeavons,1080
Gambertoglio,1080
Jaden Waldman,1080
Bear Grylls,1080
Tiffany Espensen,1080
