actor,air_time_in_minutes
Nassar,2809
Prakash Raj,2476
Nayanthara,2041
Mohanlal,1421
Mehreen Pirzada,1413
Soori,1369
Kaali Venkat,1209
Samuthirakani,1197
Naveen Chandra,1190
Mammootty,1117
Jagapathi Babu,1115
Maggie Binkley,1104
Vijay Sethupathi,1091
Sathish,1088
Shraddha Kapoor,1084
Salman Khan,1069
Thambi Ramaiah,1042
Rajinikanth,1040
Chris Evans,1026
Arya,1016
Alia Bhatt,1010
Scarlett Johansson,1009
Nani,1005
Akshay Kumar,978
Varun Dhawan,969
Siddique,948
Yogi Babu,942
Dhanush,935
Kishore,923
Pankaj Tripathi,917
Suriya,907
Neil Nitin Mukesh,904
Anandaraj,904
Rajendra Prasad,899
Tovino Thomas,894
Radha Ravi,882
Ashutosh Rana,879
Anjali,877
Vivek,874
Rajendran,850
Kangana Ranaut,842
Munishkanth,842
Aishwarya Rajesh,835
Ravi Kishan,819
Tamannaah Bhatia,811
Rana Daggubati,807
Manju Warrier,807
Prithviraj Sukumaran,804
Arun Vijay,790
Murli Sharma,786
Amitabh Bachchan,784
John Vijay,779
Prabhu,779
Yash,774
Vishnu Manchu,771
Avinash,756
Prabhu Deva,751
Sachin Khedekar,749
Arvind Swamy,749
Daniel Balaji,739
Nivetha Thomas,734
Paresh Rawal,732
Rao Ramesh,728
M. S. Bhaskar,721
Vaani Kapoor,720
Raashi Khanna,720
Jackie Shroff,716
Sonakshi Sinha,714
Sneha,712
Kajal Aggarwal,707
Erin Webbs,688
Chiranjeevi,680
Sudeep,680
Prabhas,679
Catherine Tresa,673
Saikumar,670
Sampath Raj,666
Samantha Akkineni,663
Vishnu Vishal,663
Grace Tamayo,661
Karunakaran,654
Rajkummar Rao,650
Jai,649
Urvashi,648
Srikanth,644
Nandita Swetha,634
Indrajith Sukumaran,633
RJ Balaji,630
Rahul Ramakrishna,629
Robert Downey Jr.,628
Deepika Amin,628
Parineeti Chopra,627
Mystery Science Theater 3000 Guys,625
Diljit Dosanjh,621
Anant Nag,619
Achyuth Kumar,619
Ramachandra Raju,619
Vasishta N. Simha,619
Nikki Galrani,616
Bala Saravanan,614
Chris Hemsworth,612
Dove Cameron,609
Aadukalam Naren,607
Huma Qureshi,605
Tiger Shroff,602
Ravi Teja,590
Anjali Patil,587
Amy Jackson,573
Nasser,572
Naser,560
